RXDDRGID,RXDDRUG,RXDINGFL,RXDDCI1A,RXDDCI1B,RXDDCI1C,RXDDCI2A,RXDDCI2B,RXDDCI2C,RXDDCI3A,RXDDCI3B,RXDDCI3C,RXDDCI4A,RXDDCI4B,RXDDCI4C,RXDICI1A,RXDICI1B,RXDICI1C,RXDICI2A,RXDICI2B,RXDICI2C,RXDICI3A,RXDICI3B,RXDICI3C,RXDICI4A,RXDICI4B,RXDICI4C,RXDICI5A,RXDICI5B,RXDICI5C,RXDICI6A,RXDICI6B,RXDICI6C,RXDDCN1A,RXDDCN1B,RXDDCN1C,RXDDCN2A,RXDDCN2B,RXDDCN2C,RXDDCN3A,RXDDCN3B,RXDDCN3C,RXDDCN4A,RXDDCN4B,RXDDCN4C,RXDICN1A,RXDICN1B,RXDICN1C,RXDICN2A,RXDICN2B,RXDICN2C,RXDICN3A,RXDICN3B,RXDICN3C,RXDICN4A,RXDICN4B,RXDICN4C,RXDICN5A,RXDICN5B,RXDICN5C,RXDICN6A,RXDICN6B,RXDICN6C
d03357,CODEINE; PROMETHAZINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,60.0,57.0,65.0,196.0,122.0,123.0,nan,122.0,124.0,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,PHENOTHIAZINE ANTIEMETICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,,,,,,
d03360,DEXTROMETHORPHAN; PROMETHAZINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,65.0,196.0,122.0,123.0,nan,122.0,124.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,PHENOTHIAZINE ANTIEMETICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,,,,,,,,,
d03361,CHLORPHENIRAMINE; HYDROCODONE; PHENYLEPHRINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,54.0,nan,57.0,58.0,60.0,122.0,123.0,nan,122.0,124.0,nan,122.0,127.0,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,,,
d03362,CHLORPHENIRAMINE; CODEINE; PSEUDOEPHEDRINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,60.0,122.0,123.0,nan,122.0,124.0,nan,122.0,127.0,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,
d03363,CODEINE; PSEUDOEPHEDRINE; TRIPROLIDINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,60.0,122.0,123.0,nan,122.0,124.0,nan,122.0,127.0,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,
d03364,CODEINE; PHENYLEPHRINE; PROMETHAZINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,54.0,nan,57.0,58.0,60.0,57.0,65.0,196.0,122.0,123.0,nan,122.0,124.0,nan,122.0,127.0,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,PHENOTHIAZINE ANTIEMETICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,
d03366,HYDROCODONE; PHENYLEPHRINE; PYRILAMINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,54.0,nan,57.0,58.0,60.0,57.0,67.0,70.0,122.0,123.0,nan,122.0,124.0,nan,122.0,127.0,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,CENTRAL NERVOUS SYSTEM AGENTS,ANXIOLYTICS, SEDATIVES, AND HYPNOTICS,MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,
d03367,BROMPHENIRAMINE; CODEINE; PHENYLPROPANOLAMINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,60.0,122.0,123.0,nan,122.0,124.0,nan,122.0,127.0,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,
d03368,BROMPHENIRAMINE; DEXTROMETHORPHAN; PSEUDOEPHEDRINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,123.0,nan,122.0,124.0,nan,122.0,127.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,,,
d03369,CHLORPHENIRAMINE; DEXTROMETHORPHAN; PHENYLEPHRINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,54.0,nan,122.0,123.0,nan,122.0,124.0,nan,122.0,127.0,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,
d03370,CHLORPHENIRAMINE; DEXTROMETHORPHAN; PSEUDOEPHEDRINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,123.0,nan,122.0,124.0,nan,122.0,127.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,,,
d03371,DEXTROMETHORPHAN; PHENYLEPHRINE; PYRILAMINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,54.0,nan,57.0,67.0,70.0,122.0,123.0,nan,122.0,124.0,nan,122.0,127.0,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,CENTRAL NERVOUS SYSTEM AGENTS,ANXIOLYTICS, SEDATIVES, AND HYPNOTICS,MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,,,
d03372,BROMPHENIRAMINE; DEXTROMETHORPHAN; PHENYLPROPANOLAMINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,123.0,nan,122.0,124.0,nan,122.0,127.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,,,
d03375,HYDROCODONE; PHENIRAMINE; PHENYLEPHRINE; PHENYLPROPANOLAMINE; PYRILAMINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,54.0,nan,57.0,58.0,60.0,57.0,67.0,70.0,122.0,123.0,nan,122.0,124.0,nan,122.0,127.0,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,CENTRAL NERVOUS SYSTEM AGENTS,ANXIOLYTICS, SEDATIVES, AND HYPNOTICS,MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,
d03379,GUAIFENESIN; PSEUDOEPHEDRINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,127.0,nan,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,RESPIRATORY AGENTS,DECONGESTANTS,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,,,,
d03380,EPHEDRINE; GUAIFENESIN,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,54.0,nan,122.0,127.0,nan,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,RESPIRATORY AGENTS,DECONGESTANTS,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,
d03381,GUAIFENESIN; PHENYLEPHRINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,54.0,nan,122.0,127.0,nan,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,RESPIRATORY AGENTS,DECONGESTANTS,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,
d03382,GUAIFENESIN; PHENYLPROPANOLAMINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,127.0,nan,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,RESPIRATORY AGENTS,DECONGESTANTS,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,,,,
d03383,GUAIFENESIN; PHENYLEPHRINE; PHENYLPROPANOLAMINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,54.0,nan,122.0,127.0,nan,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,RESPIRATORY AGENTS,DECONGESTANTS,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,
d03388,ETHINYL ESTRADIOL; ETHYNODIOL,2.0,97.0,101.0,102.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.0,101.0,183.0,97.0,101.0,185.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HORMONES/HORMONE MODIFIERS,SEX HORMONES,CONTRACEPTIVES,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,HORMONES/HORMONE MODIFIERS,SEX HORMONES,PROGESTINS,,,,,,,,,,,,
d03389,ESTRADIOL; TESTOSTERONE,2.0,97.0,101.0,186.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.0,101.0,182.0,97.0,101.0,183.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HORMONES/HORMONE MODIFIERS,SEX HORMONES,SEX HORMONE COMBINATIONS,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ANDROGENS AND ANABOLIC STEROIDS,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,,,,,,,,,,,,
d03393,CODEINE; GUAIFENESIN,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,60.0,122.0,124.0,nan,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,
d03394,CODEINE; IODINATED GLYCEROL,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,60.0,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,,,,
d03396,GUAIFENESIN; HYDROCODONE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,60.0,122.0,124.0,nan,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,
d03398,CODEINE; GUAIFENESIN; PSEUDOEPHEDRINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,60.0,122.0,124.0,nan,122.0,127.0,nan,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,
d03399,CHLORPHENIRAMINE; CODEINE; PHENYLEPHRINE; POTASSIUM IODIDE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,54.0,nan,57.0,58.0,60.0,97.0,422.0,nan,122.0,123.0,nan,122.0,124.0,nan,122.0,127.0,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,HORMONES/HORMONE MODIFIERS,ANTITHYROID AGENTS,,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,
d03400,DEXTROMETHORPHAN; GUAIFENESIN,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,124.0,nan,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,,,,
d03403,GUAIFENESIN; HYDROCODONE; PHENYLEPHRINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,54.0,nan,57.0,58.0,60.0,122.0,124.0,nan,122.0,127.0,nan,122.0,128.0,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,RESPIRATORY AGENTS,EXPECTORANTS,,,,
d03404,GUAIFENESIN; HYDROCODONE; PSEUDOEPHEDRINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,60.0,122.0,124.0,nan,122.0,127.0,nan,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,
d03407,CODEINE; GUAIFENESIN; PHENYLPROPANOLAMINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,60.0,122.0,124.0,nan,122.0,127.0,nan,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,
d03408,DEXTROMETHORPHAN; GUAIFENESIN; PHENYLEPHRINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,54.0,nan,122.0,124.0,nan,122.0,127.0,nan,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,
d03409,DEXTROMETHORPHAN; GUAIFENESIN; PSEUDOEPHEDRINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,124.0,nan,122.0,127.0,nan,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,
d03411,DEXTROMETHORPHAN; GUAIFENESIN; PHENYLPROPANOLAMINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,124.0,nan,122.0,127.0,nan,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,
d03416,CHLORPHENIRAMINE; HYDROCODONE; PSEUDOEPHEDRINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,60.0,122.0,123.0,nan,122.0,124.0,nan,122.0,127.0,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,
d03419,CHLORPHENIRAMINE; DEXTROMETHORPHAN; GUAIFENESIN; PHENYLEPHRINE,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,54.0,nan,122.0,123.0,nan,122.0,124.0,nan,122.0,127.0,nan,122.0,128.0,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,RESPIRATORY AGENTS,ANTIHISTAMINES,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,DECONGESTANTS,,RESPIRATORY AGENTS,EXPECTORANTS,,,,
d03423,ACETAMINOPHEN; CODEINE,2.0,57.0,58.0,191.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,59.0,57.0,58.0,60.0,122.0,124.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESIC COMBINATIONS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,MISCELLANEOUS ANALGESICS,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,RESPIRATORY AGENTS,ANTITUSSIVES,,,,,,,,,,
d03424,ASPIRIN; CODEINE,2.0,57.0,58.0,191.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,60.0,57.0,58.0,62.0,81.0,83.0,211.0,122.0,124.0,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESIC COMBINATIONS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,SALICYLATES,COAGULATION MODIFIERS,ANTIPLATELET AGENTS,PLATELET AGGREGATION INHIBITORS,RESPIRATORY AGENTS,ANTITUSSIVES,,,,,,,
d03425,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE,2.0,57.0,58.0,191.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,59.0,57.0,58.0,60.0,57.0,67.0,68.0,57.0,71.0,nan,122.0,124.0,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESIC COMBINATIONS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,MISCELLANEOUS ANALGESICS,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,CENTRAL NERVOUS SYSTEM AGENTS,ANXIOLYTICS, SEDATIVES, AND HYPNOTICS,BARBITURATES,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,RESPIRATORY AGENTS,ANTITUSSIVES,,,,
d03426,ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE,2.0,57.0,58.0,191.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,60.0,57.0,58.0,62.0,57.0,67.0,68.0,57.0,71.0,nan,81.0,83.0,211.0,122.0,124.0,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESIC COMBINATIONS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,SALICYLATES,CENTRAL NERVOUS SYSTEM AGENTS,ANXIOLYTICS, SEDATIVES, AND HYPNOTICS,BARBITURATES,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,COAGULATION MODIFIERS,ANTIPLATELET AGENTS,PLATELET AGGREGATION INHIBITORS,RESPIRATORY AGENTS,ANTITUSSIVES,
d03428,ACETAMINOPHEN; HYDROCODONE,2.0,57.0,58.0,191.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,59.0,57.0,58.0,60.0,122.0,124.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESIC COMBINATIONS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,MISCELLANEOUS ANALGESICS,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,RESPIRATORY AGENTS,ANTITUSSIVES,,,,,,,,,,
d03429,ASPIRIN; HYDROCODONE,2.0,57.0,58.0,191.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,60.0,57.0,58.0,62.0,81.0,83.0,211.0,122.0,124.0,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESIC COMBINATIONS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,SALICYLATES,COAGULATION MODIFIERS,ANTIPLATELET AGENTS,PLATELET AGGREGATION INHIBITORS,RESPIRATORY AGENTS,ANTITUSSIVES,,,,,,,
